Country,"City, State",Company,Role,Link to job,Deadline,Date applied,Status,Referral,Compensation,Interview resources,Why this role?,Cons
USA,"Mountain View, CAAtlanta, GAAustin, TX etc.",Google,Product Analyst Intern,https://careers.google.com/jobs/results/128055797029446342-product-analyst-intern-summer-2022/?category=DATA_CENTER_OPERATIONS&category=DEVELOPER_RELATIONS&category=HARDWARE_ENGINEERING&category=INFORMATION_TECHNOLOGY&category=MANUFACTURING_SUPPLY_CHAIN&category=NETWORK_ENGINEERING&category=PRODUCT_MANAGEMENT&category=PROGRAM_MANAGEMENT&category=SOFTWARE_ENGINEERING&category=TECHNICAL_INFRASTRUCTURE_ENGINEERING&category=TECHNICAL_SOLUTIONS&category=TECHNICAL_WRITING&category=USER_EXPERIENCE&company=Fitbit&company=Google&company=Google%20Fiber&company=Loon&company=Verily%20Life%20Sciences&company=Waymo&company=Wing&company=X&company=YouTube&degree=MASTERS&distance=50&employment_type=INTERN&jex=ENTRY_LEVEL,28-Jan-22,1-Dec-21,,,,,,
,"Boston, MA",Wayfair,Data Science & Machine Learning Intern,https://www.wayfair.com/careers/job/data-science-%26-machine-learning-engineering-internship-%26-co-op-2022/5577766002/apply?gh_src=acf65c8b2us&referredBy=,,5-Dec-21,Rejected,,,,,
,"Boston, MACambridge, MA",Amazon,Data Science Intern,https://www.amazon.jobs/en/jobs/1727559/data-science-intern-summer-2022,,30-Nov-21,,,,https://www.aboutamazon.com/news/workplace/whats-it-like-to-interview-at-amazon,,
,"Atlanta, GA",Novelis Corporate,Data Science Intern,https://www.internships.com/posting/bug_39095904732,,5-Dec-21,,,,,,
,"Seattle, WA",Avanade,Data Analytics Intern,https://www.internships.com/posting/bug_39092277930,,5-Dec-21,,,,,,
,"USRemote",NVIDIA,"Data Science Intern, Dataset and Generations",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Remote/Data-Science-Intern--Dataset-and-Generations---Summer-2022_JR1947968,,9-Dec-21,,,,,,
,"Santa Clara, CAUS",NVIDIA,Jetson Embedded Computer Science and Robotics (ROS) Intern,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Jetson-Embedded-Computer-Science-and-Robotics--ROS--Intern---Summer-2022_JR1948370-1,,9-Dec-21,Rejected,,,,,
,"Santa Clara, CAUSRemote",NVIDIA,"Data Science Intern, Blueprints focus",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Remote/Data-Science-Intern--Blueprints-focus---Summer-2022_JR1947967,,9-Dec-21,,,,,,
,"Santa ClaraUS",NVIDIA,Robotics R&D Intern - Simulation Technology,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Robotics-R-D-Intern---Simulation-Technology--Summer-2022-_JR1948824-1,,9-Dec-21,,,,,,
,"CA - Remote, MI - Remote, MA - Remote",Autodesk,"Intern, Machine Learning Engineer",https://autodesk.wd1.myworkdayjobs.com/en-US/uni/job/California-USA---Remote/Intern--Machine-Learning-Engineer_21WD52277-2,,9-Dec-21,,,,,,
,"CA - Remote, MI - Remote, MA- Remote",Autodesk,"Intern, Data Science",https://autodesk.wd1.myworkdayjobs.com/en-US/uni/job/California-USA---Remote/Intern--Data-Science_21WD52275,,9-Dec-21,,,,,,
,"CA - Remote, San Fracisco, CA",Autodesk,"Intern, AI Lab",https://autodesk.wd1.myworkdayjobs.com/en-US/uni/job/San-Francisco-CA-USA/Intern--AI-Lab_21WD52778,,9-Dec-21,Rejected,,,,,
,"San Jose, CA",Adobe,Data Science Analyst Intern,https://www.linkedin.com/jobs/view/2813547203/,,9-Dec-21,Rejected,,,,,
,"San Jose, CASan Francisco, CAChicago, ILAustin, TXNew York, NY",PayPal,Data Science Intern,https://wd1.myworkdaysite.com/recruiting/paypal/jobs/job/San-Jose-California-United-States-of-America/Data-Science-Intern_R0081881?Codes=W-LINKEDIN,,9-Dec-21,Rejected,,,,,
